age,claim_amount,vehicle_age,police_report_filed,witness_present,incident_severity,is_fraud,vehicle_price,driver_rating,policy_type,fault,accident_area,past_claims
40,77880.0,10,False,True,Minor Damage,0,468646.35316001915,3,Comprehensive,Third Party,Rural,4
35,71500.0,9,True,True,Major Damage,1,374811.2252216678,4,Comprehensive,Third Party,Highway,0
43,9020.0,10,True,True,Minor Damage,0,404539.7218087589,3,Third-Party,Policy Holder,Rural,3
34,5720.0,12,False,True,Minor Damage,1,274647.97966712865,4,Comprehensive,Third Party,Urban,3
40,69840.0,6,True,False,Minor Damage,0,454881.3513289779,4,Comprehensive,Policy Holder,Urban,5
45,91650.0,4,False,True,Minor Damage,0,694039.5168956012,4,Comprehensive,Third Party,Urban,3
25,75600.0,10,False,False,Major Damage,0,461730.69609613775,4,Comprehensive,Third Party,Urban,0
37,67140.0,9,False,True,Major Damage,1,545750.7501598062,4,Comprehensive,Third Party,Highway,4
35,29790.0,7,False,True,Total Loss,0,878880.5660552839,3,Comprehensive,Policy Holder,Urban,6
30,77110.0,0,False,True,Major Damage,0,794945.3750648192,3,Comprehensive,Third Party,Urban,1
37,64800.0,16,True,True,Total Loss,0,493384.4477994066,4,Comprehensive,Policy Holder,Urban,0
33,53100.0,20,True,False,Major Damage,1,316591.89458968915,2,Third-Party,Policy Holder,Urban,1
28,60200.0,11,True,True,Total Loss,1,311794.21570866473,4,Zero-Dep,Third Party,Urban,1
49,5330.0,14,True,True,Minor Damage,0,303999.0962617791,4,Comprehensive,Third Party,Rural,2
54,62300.0,8,False,False,Major Damage,0,410697.4999344825,4,Third-Party,Third Party,Urban,3
37,60170.0,4,False,True,Major Damage,1,689831.8310205621,3,Third-Party,Third Party,Highway,2
26,40000.0,5,False,True,Minor Damage,0,1078123.2476213265,2,Comprehensive,Third Party,Urban,1
34,97080.0,14,False,True,Major Damage,1,675625.5995713365,3,Third-Party,Policy Holder,Urban,1
23,51660.0,5,False,False,Minor Damage,0,650547.0073568485,3,Third-Party,Third Party,Highway,1
30,51120.0,10,False,True,Total Loss,0,701722.7108406939,4,Zero-Dep,Third Party,Urban,2
44,56400.0,1,False,True,Minor Damage,0,921825.6865014532,3,Zero-Dep,Third Party,Urban,4
40,55120.0,13,False,True,Total Loss,0,381323.6929678327,4,Comprehensive,Policy Holder,Highway,1
33,77110.0,1,False,True,Total Loss,0,746025.8293116766,3,Comprehensive,Third Party,Highway,1
47,62800.0,12,False,True,Major Damage,1,598870.0183868031,3,Comprehensive,Third Party,Highway,3
34,7290.0,20,True,False,Trivial Damage,0,408980.23089981533,4,Comprehensive,Third Party,Urban,2
35,76600.0,15,False,False,Total Loss,0,441684.85982602433,4,Comprehensive,Policy Holder,Rural,2
59,81800.0,17,True,True,Minor Damage,0,210389.7245103449,4,Zero-Dep,Policy Holder,Highway,4
27,7260.0,7,False,True,Trivial Damage,0,725584.9520241466,3,Comprehensive,Third Party,Rural,2
39,4300.0,15,True,True,Minor Damage,0,327253.9989745242,3,Comprehensive,Third Party,Urban,2
40,70510.0,16,False,False,Major Damage,0,288100.5508903536,3,Third-Party,Third Party,Urban,5
39,2640.0,6,True,True,Minor Damage,0,606356.1499624556,4,Comprehensive,Third Party,Urban,3
26,78900.0,20,False,True,Minor Damage,0,227050.0447263682,4,Comprehensive,Third Party,Urban,1
56,56430.0,1,False,True,Major Damage,0,774261.4602815289,5,Zero-Dep,Third Party,Highway,6
32,2400.0,1,False,True,Minor Damage,0,817669.9577003812,4,Comprehensive,Policy Holder,Urban,3
39,65790.0,8,False,True,Total Loss,0,389980.2429706195,4,Comprehensive,Third Party,Urban,0
36,62920.0,15,False,True,Minor Damage,0,231035.80871632296,4,Comprehensive,Third Party,Urban,2
34,69480.0,1,False,True,Major Damage,1,857061.2706476839,5,Zero-Dep,Third Party,Urban,3
44,44280.0,18,False,True,Total Loss,0,226876.66315553195,4,Comprehensive,Policy Holder,Urban,3
32,56300.0,4,True,True,Minor Damage,0,1235923.2164622622,2,Comprehensive,Third Party,Urban,2
42,68520.0,12,True,True,Major Damage,1,402951.0575914754,4,Comprehensive,Policy Holder,Urban,3
42,59130.0,9,False,False,Total Loss,1,472145.7059344207,4,Comprehensive,Third Party,Highway,4
39,82320.0,20,False,True,Minor Damage,1,204436.95345940255,5,Zero-Dep,Policy Holder,Urban,1
31,89700.0,6,False,True,Minor Damage,1,1065829.454952136,2,Comprehensive,Third Party,Rural,3
64,33930.0,17,False,True,Minor Damage,0,420266.3634318677,3,Zero-Dep,Policy Holder,Urban,0
30,68530.0,18,False,True,Major Damage,0,331670.2928447701,3,Comprehensive,Policy Holder,Urban,3
49,4300.0,11,False,True,Minor Damage,0,370482.4296435986,4,Comprehensive,Third Party,Urban,5
42,68310.0,12,False,True,Major Damage,1,574175.0366057068,3,Zero-Dep,Policy Holder,Urban,3
41,61290.0,20,False,True,Total Loss,1,189996.92994001252,4,Comprehensive,Policy Holder,Urban,2
41,30100.0,16,False,True,Minor Damage,0,313193.2714029836,3,Comprehensive,Third Party,Urban,0
37,57120.0,13,True,False,Minor Damage,0,540010.5627343677,4,Zero-Dep,Third Party,Highway,3
40,42930.0,10,True,False,Minor Damage,0,603352.7649651942,3,Comprehensive,Third Party,Urban,3
35,51210.0,5,False,False,Total Loss,0,526697.4233486799,2,Comprehensive,Policy Holder,Urban,3
45,89400.0,17,True,True,Minor Damage,0,221984.7495473994,3,Zero-Dep,Policy Holder,Highway,1
47,59730.0,10,False,True,Total Loss,0,837063.4741812317,3,Comprehensive,Third Party,Urban,3
39,8060.0,11,True,True,Minor Damage,0,393497.9227694453,4,Comprehensive,Third Party,Urban,1
38,72200.0,2,False,True,Major Damage,1,1580274.84884491,4,Comprehensive,Policy Holder,Urban,1
31,50800.0,10,False,True,Minor Damage,0,445183.02080048935,2,Comprehensive,Third Party,Urban,3
40,6600.0,10,False,True,Trivial Damage,0,392129.44241982437,5,Comprehensive,Third Party,Urban,0
29,7500.0,13,False,True,Minor Damage,0,382855.10438996,5,Third-Party,Third Party,Rural,1
35,6490.0,13,True,True,Trivial Damage,0,519154.78705017513,2,Comprehensive,Third Party,Rural,1
48,60940.0,2,False,True,Major Damage,1,1053594.937642781,5,Third-Party,Third Party,Highway,5
41,58300.0,8,False,True,Major Damage,0,378148.79023941536,2,Comprehensive,Third Party,Urban,6
34,68400.0,8,False,True,Minor Damage,0,528526.5435314339,3,Comprehensive,Policy Holder,Urban,1
32,64240.0,0,True,True,Total Loss,0,1569501.78420111,4,Comprehensive,Third Party,Urban,1
36,4700.0,13,True,True,Trivial Damage,0,274857.72579907376,3,Third-Party,Third Party,Urban,0
25,45120.0,4,False,False,Major Damage,1,636176.3655993296,3,Comprehensive,Policy Holder,Urban,0
29,66950.0,20,False,True,Total Loss,0,164490.18349840562,2,Comprehensive,Policy Holder,Urban,0
23,98340.0,11,False,True,Major Damage,1,420142.9250124392,3,Zero-Dep,Policy Holder,Urban,1
42,5900.0,8,False,True,Trivial Damage,0,871226.9204613528,4,Comprehensive,Third Party,Urban,1
43,70680.0,6,False,True,Major Damage,0,517225.9639610413,4,Comprehensive,Third Party,Urban,4
42,93720.0,10,False,False,Total Loss,0,697519.9818537425,2,Zero-Dep,Policy Holder,Highway,1
25,6930.0,14,True,False,Minor Damage,0,327783.7568221379,4,Comprehensive,Third Party,Urban,1
47,72930.0,9,False,True,Major Damage,1,411785.86471637816,3,Comprehensive,Policy Holder,Highway,2
25,64890.0,2,True,True,Minor Damage,1,583592.3264670108,4,Comprehensive,Third Party,Urban,0
48,5400.0,16,True,True,Trivial Damage,0,215325.86890470027,3,Comprehensive,Policy Holder,Rural,2
42,5600.0,8,False,False,Trivial Damage,0,1102106.520271003,3,Comprehensive,Third Party,Urban,0
41,79300.0,8,False,False,Minor Damage,0,572814.1251929352,2,Third-Party,Third Party,Urban,1
27,52800.0,11,True,False,Major Damage,0,420790.7916609237,3,Comprehensive,Third Party,Urban,3
41,28800.0,2,False,True,Minor Damage,0,649102.895108194,4,Third-Party,Third Party,Urban,3
33,2970.0,7,False,True,Minor Damage,0,631424.8697718531,3,Zero-Dep,Third Party,Rural,2
54,93480.0,1,False,False,Total Loss,0,900676.2947924804,2,Third-Party,Third Party,Urban,2
49,4320.0,13,True,True,Minor Damage,0,690418.6266746215,3,Third-Party,Third Party,Urban,3
61,79800.0,15,True,True,Major Damage,1,278949.47174436855,2,Third-Party,Policy Holder,Highway,2
28,74200.0,18,False,False,Major Damage,0,383977.6781636192,2,Zero-Dep,Policy Holder,Urban,0
47,70590.0,15,False,False,Major Damage,1,228440.140579608,5,Comprehensive,Policy Holder,Rural,5
31,60940.0,9,True,True,Major Damage,1,531394.8889498494,4,Comprehensive,Third Party,Urban,1
42,74700.0,5,True,True,Minor Damage,0,578259.5975607286,3,Comprehensive,Third Party,Urban,4
60,70000.0,0,False,False,Major Damage,1,723504.4300379729,4,Comprehensive,Policy Holder,Urban,0
41,81070.0,14,False,False,Total Loss,0,523068.51800374035,2,Comprehensive,Third Party,Urban,8
32,57720.0,8,False,True,Major Damage,0,494484.7158587753,5,Third-Party,Third Party,Highway,3
51,7080.0,14,True,True,Minor Damage,0,258002.80390229853,4,Comprehensive,Third Party,Urban,5
46,47700.0,18,False,True,Total Loss,1,271250.47648776014,3,Zero-Dep,Policy Holder,Urban,2
31,51260.0,13,False,True,Minor Damage,0,373672.47760292154,3,Comprehensive,Policy Holder,Urban,2
41,70400.0,4,False,True,Major Damage,1,705616.333260847,2,Comprehensive,Third Party,Highway,6
38,90000.0,0,True,True,Minor Damage,0,821139.5419044191,4,Comprehensive,Third Party,Highway,1
39,72820.0,5,False,True,Minor Damage,0,1183955.214708605,3,Comprehensive,Third Party,Highway,4
41,69300.0,15,False,False,Minor Damage,0,561374.0661863495,2,Comprehensive,Policy Holder,Rural,3
36,76560.0,7,False,True,Major Damage,1,549764.9430270111,3,Comprehensive,Third Party,Rural,2
38,55440.0,16,True,True,Major Damage,1,210859.45961843146,4,Comprehensive,Policy Holder,Urban,3
25,77130.0,20,False,False,Total Loss,0,190721.54141653245,3,Comprehensive,Third Party,Highway,0
35,42000.0,4,False,True,Total Loss,0,922566.0651215027,4,Comprehensive,Third Party,Rural,3
39,36300.0,2,True,True,Total Loss,0,732956.1303149485,4,Comprehensive,Third Party,Urban,2
38,40320.0,14,False,False,Total Loss,0,281558.3174640709,4,Comprehensive,Third Party,Rural,1
32,3960.0,17,False,False,Minor Damage,0,383124.8997257391,2,Comprehensive,Third Party,Rural,5
43,63840.0,9,True,True,Major Damage,1,667542.9399195585,3,Comprehensive,Policy Holder,Urban,1
28,44730.0,15,False,True,Major Damage,1,298737.484021584,5,Comprehensive,Third Party,Urban,2
45,84720.0,16,False,True,Minor Damage,0,222324.2091174363,5,Comprehensive,Policy Holder,Urban,4
39,61500.0,3,False,True,Major Damage,0,829031.4957993124,4,Third-Party,Third Party,Highway,3
27,51000.0,2,False,True,Major Damage,0,764961.6563839205,3,Zero-Dep,Policy Holder,Urban,3
33,46800.0,13,False,True,Total Loss,0,305564.9537468954,2,Zero-Dep,Policy Holder,Highway,2
32,78120.0,9,False,True,Minor Damage,0,870508.4762874,5,Comprehensive,Policy Holder,Urban,4
34,69200.0,19,False,True,Major Damage,1,306838.5923088441,3,Comprehensive,Third Party,Highway,3
40,3690.0,0,False,False,Minor Damage,0,1044887.6656276141,2,Comprehensive,Third Party,Urban,4
28,65500.0,5,False,True,Minor Damage,0,1103252.3564036735,4,Third-Party,Third Party,Highway,3
46,76120.0,16,True,True,Minor Damage,0,303788.7226757626,1,Third-Party,Third Party,Urban,1
32,73560.0,20,True,True,Total Loss,0,296589.513995061,4,Third-Party,Policy Holder,Urban,3
35,52030.0,7,False,True,Total Loss,0,956299.2378120826,4,Zero-Dep,Third Party,Urban,3
41,5170.0,14,False,True,Trivial Damage,0,306307.44458475464,4,Comprehensive,Third Party,Urban,3
34,8190.0,2,True,True,Minor Damage,0,896102.3428858417,4,Third-Party,Policy Holder,Urban,1
29,70800.0,3,False,True,Major Damage,1,708223.8084356517,4,Third-Party,Third Party,Rural,0
31,45630.0,4,True,True,Total Loss,0,627415.903099099,4,Comprehensive,Third Party,Highway,3
58,99320.0,13,False,True,Major Damage,1,292346.45313861367,3,Zero-Dep,Third Party,Rural,4
41,64000.0,19,False,False,Major Damage,1,369053.4700841654,4,Comprehensive,Policy Holder,Urban,2
38,47300.0,1,False,True,Minor Damage,0,798670.7670768753,4,Zero-Dep,Third Party,Urban,3
27,71680.0,8,False,True,Major Damage,1,867983.6669902272,4,Third-Party,Third Party,Highway,2
41,112320.0,4,True,False,Major Damage,1,483754.1142877739,4,Comprehensive,Policy Holder,Highway,1
32,82720.0,1,False,False,Total Loss,0,1730761.1916006021,3,Third-Party,Third Party,Urban,3
45,48060.0,6,False,True,Major Damage,0,1240233.9978767268,4,Comprehensive,Policy Holder,Highway,3
32,63570.0,9,True,True,Total Loss,1,682883.0438213178,1,Third-Party,Policy Holder,Urban,1
54,63240.0,18,False,True,Total Loss,0,236423.1967950716,4,Third-Party,Third Party,Highway,4
33,54240.0,2,False,True,Minor Damage,1,591284.2923659192,4,Third-Party,Policy Holder,Highway,6
50,37280.0,19,False,True,Major Damage,1,437697.26685451134,2,Zero-Dep,Policy Holder,Rural,4
61,72100.0,9,True,True,Minor Damage,0,393963.86606391944,3,Comprehensive,Third Party,Urban,3
59,6500.0,2,False,True,Minor Damage,0,793765.9706166361,3,Comprehensive,Policy Holder,Rural,5
38,78240.0,2,False,False,Total Loss,0,818604.2478061082,4,Comprehensive,Third Party,Urban,1
29,6200.0,16,False,False,Minor Damage,0,301913.9125484186,4,Comprehensive,Third Party,Urban,2
36,6160.0,1,False,True,Minor Damage,0,1196159.263791187,2,Comprehensive,Policy Holder,Urban,4
48,76050.0,18,False,False,Total Loss,0,278087.2409275273,4,Comprehensive,Third Party,Rural,2
48,86060.0,13,True,True,Total Loss,0,538850.3108040887,4,Comprehensive,Third Party,Highway,1
30,107900.0,18,False,False,Major Damage,1,176958.907206856,4,Comprehensive,Third Party,Urban,0
34,99990.0,4,True,False,Total Loss,0,1229709.2159854104,3,Zero-Dep,Third Party,Urban,0
29,61380.0,3,True,True,Minor Damage,0,639578.0100793144,4,Comprehensive,Third Party,Highway,1
28,71280.0,3,True,True,Major Damage,1,1499186.1507334071,3,Zero-Dep,Third Party,Urban,1
45,64000.0,16,False,False,Minor Damage,0,307184.45045312255,2,Comprehensive,Policy Holder,Urban,2
46,5940.0,0,False,True,Trivial Damage,0,772284.0294496539,4,Comprehensive,Third Party,Urban,1
37,6700.0,4,False,False,Minor Damage,0,779830.9371941256,1,Comprehensive,Policy Holder,Urban,1
42,51740.0,9,False,False,Minor Damage,0,396105.7339682075,3,Comprehensive,Third Party,Highway,2
28,53600.0,8,True,True,Total Loss,1,902071.4519631392,2,Comprehensive,Third Party,Rural,3
29,44910.0,14,False,False,Total Loss,0,270188.0192299221,3,Comprehensive,Third Party,Urban,0
31,48100.0,1,True,True,Major Damage,0,1812416.4161164288,4,Comprehensive,Policy Holder,Urban,0
44,6100.0,13,False,True,Trivial Damage,0,275409.67399934307,4,Comprehensive,Third Party,Urban,4
46,79600.0,4,True,False,Minor Damage,0,491161.2349953802,4,Comprehensive,Third Party,Urban,4
34,77040.0,17,True,True,Minor Damage,0,239497.95451426972,4,Comprehensive,Third Party,Rural,2
45,62590.0,12,False,True,Minor Damage,0,834639.3464334657,4,Third-Party,Third Party,Urban,2
40,85150.0,17,False,True,Total Loss,0,296006.7610900267,4,Comprehensive,Third Party,Rural,1
39,4950.0,5,False,True,Trivial Damage,0,664840.439656636,4,Zero-Dep,Third Party,Rural,2
36,51100.0,9,True,False,Major Damage,0,995355.9275030695,3,Third-Party,Third Party,Urban,1
54,100800.0,18,False,True,Minor Damage,0,275489.9458296864,3,Zero-Dep,Policy Holder,Rural,3
27,90970.0,6,False,True,Total Loss,0,555127.15490119,3,Third-Party,Third Party,Urban,0
26,81840.0,4,True,True,Minor Damage,1,577323.9853267532,4,Comprehensive,Third Party,Urban,2
46,54900.0,2,False,True,Major Damage,0,1572050.842026235,4,Comprehensive,Third Party,Urban,2
35,88660.0,8,False,True,Total Loss,1,967701.0572209861,4,Comprehensive,Policy Holder,Highway,1
34,18000.0,6,False,True,Total Loss,0,969790.5261797109,4,Third-Party,Policy Holder,Highway,3
39,5500.0,5,True,True,Minor Damage,0,471432.0643879411,5,Comprehensive,Third Party,Urban,4
25,73920.0,12,False,False,Major Damage,1,399711.57032347226,1,Comprehensive,Third Party,Urban,3
28,101860.0,8,True,True,Total Loss,0,419152.35910940135,2,Zero-Dep,Third Party,Urban,3
57,5390.0,7,True,True,Minor Damage,0,1172986.0753473209,3,Comprehensive,Third Party,Rural,3
39,50490.0,14,False,True,Minor Damage,0,267880.8330103616,4,Comprehensive,Third Party,Rural,5
47,55500.0,3,False,True,Total Loss,0,1044221.3617925647,4,Third-Party,Third Party,Rural,5
32,7040.0,0,True,True,Minor Damage,0,990722.8856530851,3,Comprehensive,Third Party,Rural,0
26,40160.0,12,True,True,Total Loss,0,294124.94478838315,4,Comprehensive,Policy Holder,Urban,0
44,55680.0,9,False,True,Total Loss,0,371411.68152256106,2,Third-Party,Third Party,Highway,4
36,5300.0,14,False,True,Trivial Damage,1,323029.24533827085,4,Comprehensive,Third Party,Urban,3
43,5200.0,9,False,True,Trivial Damage,0,525193.0714006207,4,Comprehensive,Policy Holder,Urban,2
48,59400.0,1,False,True,Major Damage,0,670515.801623685,4,Comprehensive,Third Party,Highway,2
43,2520.0,18,False,True,Minor Damage,0,392228.6304588689,3,Third-Party,Third Party,Urban,2
31,5760.0,4,True,True,Trivial Damage,0,724037.3384027663,4,Comprehensive,Third Party,Urban,0
49,76700.0,9,True,False,Minor Damage,0,546705.4936220291,4,Zero-Dep,Third Party,Rural,2
39,5920.0,0,False,True,Trivial Damage,0,850315.0041359954,2,Zero-Dep,Policy Holder,Highway,6
62,64350.0,6,False,True,Major Damage,0,452023.8573674695,4,Comprehensive,Third Party,Urban,5
39,19080.0,20,False,True,Total Loss,0,150714.6606026203,3,Comprehensive,Policy Holder,Urban,4
43,54400.0,4,False,True,Minor Damage,0,1035098.1358794114,3,Comprehensive,Third Party,Highway,5
32,59800.0,16,False,False,Total Loss,1,217164.55822712198,3,Third-Party,Third Party,Highway,1
29,72000.0,10,True,True,Major Damage,0,843158.6152833205,4,Comprehensive,Policy Holder,Urban,4
48,65070.0,12,False,True,Total Loss,0,543114.4652553583,4,Comprehensive,Policy Holder,Highway,3
53,8800.0,13,False,True,Trivial Damage,0,331947.66152510705,3,Comprehensive,Policy Holder,Urban,4
24,6120.0,0,False,False,Minor Damage,0,932561.5351482267,2,Zero-Dep,Third Party,Urban,2
37,7080.0,16,False,True,Trivial Damage,0,276957.1121991598,2,Comprehensive,Third Party,Rural,1
50,34320.0,6,True,True,Minor Damage,0,879790.5285517477,2,Zero-Dep,Third Party,Urban,3
40,53460.0,11,False,False,Major Damage,1,440765.21303903725,4,Comprehensive,Third Party,Urban,0
33,81360.0,6,False,True,Total Loss,1,609172.3327118489,4,Zero-Dep,Policy Holder,Highway,2
43,81070.0,9,True,True,Minor Damage,1,932153.6722172699,4,Comprehensive,Policy Holder,Highway,2
26,63120.0,7,False,True,Minor Damage,0,785127.0952986091,2,Comprehensive,Policy Holder,Highway,1
28,7200.0,11,False,True,Trivial Damage,0,584685.8754632944,4,Zero-Dep,Third Party,Urban,0
46,70290.0,17,False,True,Total Loss,1,300448.1157242771,4,Zero-Dep,Third Party,Highway,3
43,60190.0,16,False,False,Minor Damage,0,475353.6629713751,2,Comprehensive,Third Party,Urban,5
44,61380.0,6,True,True,Major Damage,1,495208.3529029745,2,Comprehensive,Third Party,Rural,2
49,28100.0,3,False,True,Minor Damage,0,679800.8862108999,3,Comprehensive,Third Party,Urban,3
50,49060.0,20,False,False,Total Loss,0,215316.42276021984,2,Comprehensive,Policy Holder,Highway,3
50,57060.0,20,False,True,Total Loss,0,460161.9406962782,3,Comprehensive,Third Party,Highway,4
38,77880.0,7,True,True,Major Damage,0,456835.1562536302,3,Zero-Dep,Policy Holder,Highway,0
41,73500.0,16,True,True,Total Loss,0,322695.9687135702,4,Comprehensive,Policy Holder,Rural,2
52,88920.0,5,False,False,Minor Damage,0,450851.4805140062,2,Third-Party,Policy Holder,Urban,6
52,47630.0,10,False,True,Major Damage,1,422738.7833501741,3,Comprehensive,Third Party,Rural,4
53,59040.0,0,False,True,Total Loss,0,906939.4224644612,5,Comprehensive,Third Party,Urban,5
37,79530.0,15,False,True,Minor Damage,0,229800.49208896447,3,Third-Party,Policy Holder,Urban,2
34,53680.0,10,True,True,Total Loss,0,337405.5206664316,2,Comprehensive,Third Party,Rural,1
46,33550.0,10,True,True,Minor Damage,0,743053.9008028192,4,Third-Party,Third Party,Highway,3
42,69100.0,9,True,True,Total Loss,0,545468.1286271608,4,Comprehensive,Policy Holder,Highway,4
35,79750.0,16,False,False,Major Damage,0,278943.4719891404,4,Zero-Dep,Third Party,Highway,2
28,53600.0,0,True,True,Major Damage,1,1946418.5772801691,4,Third-Party,Policy Holder,Urban,1
54,76560.0,6,False,False,Minor Damage,0,633632.0288981854,3,Zero-Dep,Policy Holder,Urban,1
32,41130.0,16,False,True,Total Loss,0,261821.14185542724,4,Comprehensive,Policy Holder,Urban,3
26,78650.0,19,False,True,Total Loss,1,460370.2511297126,4,Comprehensive,Third Party,Urban,0
41,71060.0,5,False,True,Major Damage,0,448775.0937711156,3,Comprehensive,Third Party,Urban,5
37,38830.0,16,False,True,Minor Damage,0,214146.5175388193,3,Comprehensive,Third Party,Urban,3
43,53500.0,0,True,False,Major Damage,0,990007.161325163,4,Comprehensive,Policy Holder,Urban,2
38,73700.0,14,False,False,Major Damage,1,353408.19869455206,3,Comprehensive,Policy Holder,Rural,2
40,6300.0,14,True,True,Trivial Damage,0,266599.13264998386,4,Comprehensive,Third Party,Urban,5
36,65400.0,3,False,True,Total Loss,0,694222.0876238303,2,Comprehensive,Third Party,Urban,5
28,3200.0,1,False,True,Trivial Damage,0,1566875.770600808,3,Comprehensive,Third Party,Urban,3
51,75400.0,3,True,True,Major Damage,1,809415.6456980248,3,Comprehensive,Third Party,Rural,4
28,58140.0,7,True,True,Minor Damage,0,537812.5982094825,4,Comprehensive,Policy Holder,Urban,0
44,98670.0,5,False,True,Total Loss,1,565485.3633839583,4,Third-Party,Third Party,Urban,3
27,5900.0,6,False,True,Minor Damage,0,970062.9424489617,4,Comprehensive,Policy Holder,Rural,3
30,64100.0,14,True,True,Major Damage,0,296332.9219827764,3,Comprehensive,Policy Holder,Urban,1
28,55440.0,6,False,True,Total Loss,1,591718.2558290726,2,Comprehensive,Policy Holder,Highway,1
27,80850.0,4,False,True,Major Damage,1,752677.6034388612,3,Third-Party,Third Party,Urban,0
40,7480.0,17,False,True,Trivial Damage,0,241824.72097205732,1,Comprehensive,Third Party,Urban,4
61,53640.0,11,False,True,Major Damage,1,334351.2334373604,4,Comprehensive,Policy Holder,Urban,3
23,63250.0,13,False,True,Major Damage,1,287331.11198219296,3,Zero-Dep,Policy Holder,Urban,1
57,59040.0,20,False,True,Major Damage,0,223594.13847458686,2,Comprehensive,Third Party,Urban,3
36,50500.0,11,True,False,Total Loss,0,443145.7210439632,3,Zero-Dep,Policy Holder,Highway,0
43,57690.0,5,False,True,Major Damage,1,893418.6317174013,3,Third-Party,Third Party,Urban,3
40,5940.0,1,True,True,Trivial Damage,0,619182.3882115341,4,Comprehensive,Third Party,Urban,8
30,47790.0,20,True,True,Major Damage,1,208504.05750271401,5,Comprehensive,Third Party,Urban,3
29,3850.0,1,False,True,Trivial Damage,0,650649.974767164,3,Third-Party,Policy Holder,Urban,0
31,59000.0,2,False,False,Major Damage,1,854505.8747884182,4,Zero-Dep,Policy Holder,Urban,5
43,70600.0,2,False,True,Major Damage,1,1252606.7675815457,3,Comprehensive,Third Party,Urban,5
40,61490.0,14,False,True,Minor Damage,0,252940.393760087,5,Comprehensive,Policy Holder,Urban,2
30,57640.0,5,True,False,Minor Damage,0,1347392.8001025962,4,Comprehensive,Policy Holder,Highway,2
57,6890.0,16,False,False,Trivial Damage,0,417224.7593135433,2,Comprehensive,Third Party,Urban,5
45,53280.0,9,False,True,Major Damage,1,394734.94712433487,4,Third-Party,Policy Holder,Highway,5
29,78300.0,6,False,False,Minor Damage,0,855897.3071272272,5,Comprehensive,Policy Holder,Urban,0
37,41490.0,14,False,True,Major Damage,0,248573.31317803822,3,Third-Party,Third Party,Highway,2
36,68970.0,8,True,True,Total Loss,0,361762.87289372087,3,Zero-Dep,Policy Holder,Highway,4
55,85300.0,12,True,False,Minor Damage,0,276710.17274184246,4,Third-Party,Third Party,Highway,2
40,3080.0,3,False,False,Minor Damage,0,1077607.67171004,3,Third-Party,Third Party,Highway,3
47,71760.0,5,False,False,Major Damage,1,459284.64103403,4,Third-Party,Policy Holder,Highway,2
26,59700.0,13,False,False,Minor Damage,0,345980.13453849964,4,Third-Party,Policy Holder,Highway,4
39,64920.0,18,False,True,Minor Damage,0,251004.1029925964,3,Zero-Dep,Policy Holder,Highway,4
